# t = +1.6730375078e+00
# r                 u_z
-4.2968750000e-02   +6.0329305472e+00   
-4.1015625000e-02   +6.0329296329e+00   
-3.9062500000e-02   +6.0329259760e+00   
-3.7109375000e-02   +6.0329199764e+00   
-3.5156250000e-02   +6.0329120138e+00   
-3.3203125000e-02   +6.0329024485e+00   
-3.1250000000e-02   +6.0328916207e+00   
-2.9296875000e-02   +6.0328798508e+00   
-2.7343750000e-02   +6.0328674397e+00   
-2.5390625000e-02   +6.0328546684e+00   
-2.3437500000e-02   +6.0328417981e+00   
-2.1484375000e-02   +6.0328290708e+00   
-1.9531250000e-02   +6.0328167084e+00   
-1.7578125000e-02   +6.0328049138e+00   
-1.5625000000e-02   +6.0327938700e+00   
-1.3671875000e-02   +6.0327837408e+00   
-1.1718750000e-02   +6.0327746707e+00   
-9.7656250000e-03   +6.0327667846e+00   
-7.8125000000e-03   +6.0327601882e+00   
-5.8593750000e-03   +6.0327549682e+00   
-3.9062500000e-03   +6.0327511915e+00   
-1.9531250000e-03   +6.0327489063e+00   
+0.0000000000e+00   +6.0327481414e+00   
+1.9531250000e-03   +6.0327489063e+00   
+3.9062500000e-03   +6.0327511915e+00   
+5.8593750000e-03   +6.0327549682e+00   
+7.8125000000e-03   +6.0327601882e+00   
+9.7656250000e-03   +6.0327667846e+00   
+1.1718750000e-02   +6.0327746707e+00   
+1.3671875000e-02   +6.0327837408e+00   
+1.5625000000e-02   +6.0327938700e+00   
+1.7578125000e-02   +6.0328049138e+00   
+1.9531250000e-02   +6.0328167084e+00   
+2.1484375000e-02   +6.0328290708e+00   
+2.3437500000e-02   +6.0328417981e+00   
+2.5390625000e-02   +6.0328546684e+00   
+2.7343750000e-02   +6.0328674397e+00   
+2.9296875000e-02   +6.0328798508e+00   
+3.1250000000e-02   +6.0328916207e+00   
+3.3203125000e-02   +6.0329024485e+00   
+3.5156250000e-02   +6.0329120138e+00   
+3.7109375000e-02   +6.0329199764e+00   
+3.9062500000e-02   +6.0329259760e+00   
+4.1015625000e-02   +6.0329296329e+00   
+4.2968750000e-02   +6.0329305472e+00   
+4.4921875000e-02   +6.0329282994e+00   
+4.6875000000e-02   +6.0329224500e+00   
+4.8828125000e-02   +6.0329125398e+00   
+5.0781250000e-02   +6.0328980899e+00   
+5.2734375000e-02   +6.0328786018e+00   
+5.4687500000e-02   +6.0328535573e+00   
+5.6640625000e-02   +6.0328224187e+00   
+5.8593750000e-02   +6.0327846294e+00   
+6.0546875000e-02   +6.0327396133e+00   
+6.2500000000e-02   +6.0326867756e+00   
+6.4453125000e-02   +6.0326255028e+00   
+6.6406250000e-02   +6.0325551632e+00   
+6.8359375000e-02   +6.0324751069e+00   
+7.0312500000e-02   +6.0323846664e+00   
+7.2265625000e-02   +6.0322831572e+00   
+7.4218750000e-02   +6.0321698777e+00   
+7.6171875000e-02   +6.0320441105e+00   
+7.8125000000e-02   +6.0319051224e+00   
+8.0078125000e-02   +6.0317521651e+00   
+8.2031250000e-02   +6.0315844763e+00   
+8.3984375000e-02   +6.0314012802e+00   
+8.5937500000e-02   +6.0312017883e+00   
+8.7890625000e-02   +6.0309852005e+00   
+8.9843750000e-02   +6.0307507061e+00   
+9.1796875000e-02   +6.0304974847e+00   
+9.3750000000e-02   +6.0302247077e+00   
+9.5703125000e-02   +6.0299315393e+00   
+9.7656250000e-02   +6.0296171380e+00   
+9.9609375000e-02   +6.0292806582e+00   
+1.0156250000e-01   +6.0289212513e+00   
+1.0351562500e-01   +6.0285380681e+00   
+1.0546875000e-01   +6.0281302600e+00   
+1.0742187500e-01   +6.0276969810e+00   
+1.0937500000e-01   +6.0272373901e+00   
+1.1132812500e-01   +6.0267506530e+00   
+1.1328125000e-01   +6.0262359448e+00   
+1.1523437500e-01   +6.0256924518e+00   
+1.1718750000e-01   +6.0251193749e+00   
+1.1914062500e-01   +6.0245159315e+00   
+1.2109375000e-01   +6.0238813587e+00   
+1.2304687500e-01   +6.0232149163e+00   
+1.2500000000e-01   +6.0225158897e+00   
+1.2695312500e-01   +6.0217835935e+00   
+1.2890625000e-01   +6.0210173746e+00   
+1.3085937500e-01   +6.0202166160e+00   
+1.3281250000e-01   +6.0193807403e+00   
+1.3476562500e-01   +6.0185092140e+00   
+1.3671875000e-01   +6.0176015513e+00   
+1.3867187500e-01   +6.0166573185e+00   
+1.4062500000e-01   +6.0156761380e+00   
+1.4257812500e-01   +6.0146576936e+00   
+1.4453125000e-01   +6.0136017348e+00   
+1.4648437500e-01   +6.0125080815e+00   
+1.4843750000e-01   +6.0113766298e+00   
+1.5039062500e-01   +6.0102073566e+00   
+1.5234375000e-01   +6.0090003255e+00   
+1.5429687500e-01   +6.0077556924e+00   
+1.5625000000e-01   +6.0064737107e+00   
+1.5820312500e-01   +6.0051547382e+00   
+1.6015625000e-01   +6.0037992425e+00   
+1.6210937500e-01   +6.0024078077e+00   
+1.6406250000e-01   +6.0009811404e+00   
+1.6601562500e-01   +5.9995200770e+00   
+1.6796875000e-01   +5.9980255897e+00   
+1.6992187500e-01   +5.9964987941e+00   
+1.7187500000e-01   +5.9949409556e+00   
+1.7382812500e-01   +5.9933534971e+00   
+1.7578125000e-01   +5.9917380059e+00   
+1.7773437500e-01   +5.9900962414e+00   
+1.7968750000e-01   +5.9884301424e+00   
+1.8164062500e-01   +5.9867418349e+00   
+1.8359375000e-01   +5.9850336396e+00   
+1.8554687500e-01   +5.9833080797e+00   
+1.8750000000e-01   +5.9815678888e+00   
+1.8945312500e-01   +5.9798160188e+00   
+1.9140625000e-01   +5.9780556474e+00   
+1.9335937500e-01   +5.9762901864e+00   
+1.9531250000e-01   +5.9745232894e+00   
+1.9726562500e-01   +5.9727588596e+00   
+1.9921875000e-01   +5.9710010575e+00   
+2.0117187500e-01   +5.9692543091e+00   
+2.0312500000e-01   +5.9675233125e+00   
+2.0507812500e-01   +5.9658130465e+00   
+2.0703125000e-01   +5.9641287772e+00   
+2.0898437500e-01   +5.9624760653e+00   
+2.1093750000e-01   +5.9608607731e+00   
+2.1289062500e-01   +5.9592890712e+00   
+2.1484375000e-01   +5.9577674448e+00   
+2.1679687500e-01   +5.9563026999e+00   
+2.1875000000e-01   +5.9549019689e+00   
+2.2070312500e-01   +5.9535727162e+00   
+2.2265625000e-01   +5.9523227430e+00   
+2.2460937500e-01   +5.9511601916e+00   
+2.2656250000e-01   +5.9500935496e+00   
+2.2851562500e-01   +5.9491316534e+00   
+2.3046875000e-01   +5.9482836907e+00   
+2.3242187500e-01   +5.9475592025e+00   
+2.3437500000e-01   +5.9469680853e+00   
+2.3632812500e-01   +5.9465205908e+00   
+2.3828125000e-01   +5.9462273267e+00   
+2.4023437500e-01   +5.9460992548e+00   
+2.4218750000e-01   +5.9461476898e+00   
+2.4414062500e-01   +5.9463842960e+00   
+2.4609375000e-01   +5.9468210835e+00   
+2.4804687500e-01   +5.9474704030e+00   
+2.5000000000e-01   +5.9483449397e+00   
+2.5195312500e-01   +5.9494577055e+00   
+2.5390625000e-01   +5.9508220307e+00   
+2.5585937500e-01   +5.9524515532e+00   
+2.5781250000e-01   +5.9543602074e+00   
+2.5976562500e-01   +5.9565622104e+00   
+2.6171875000e-01   +5.9590720479e+00   
+2.6367187500e-01   +5.9619044572e+00   
+2.6562500000e-01   +5.9650744091e+00   
+2.6757812500e-01   +5.9685970879e+00   
+2.6953125000e-01   +5.9724878694e+00   
+2.7148437500e-01   +5.9767622968e+00   
+2.7343750000e-01   +5.9814360548e+00   
+2.7539062500e-01   +5.9865249410e+00   
+2.7734375000e-01   +5.9920448359e+00   
+2.7929687500e-01   +5.9980116699e+00   
+2.8125000000e-01   +6.0044413877e+00   
+2.8320312500e-01   +6.0113499114e+00   
+2.8515625000e-01   +6.0187530993e+00   
+2.8710937500e-01   +6.0266667036e+00   
+2.8906250000e-01   +6.0351063246e+00   
+2.9101562500e-01   +6.0440873617e+00   
+2.9296875000e-01   +6.0536249628e+00   
+2.9492187500e-01   +6.0637339694e+00   
+2.9687500000e-01   +6.0744288593e+00   
+2.9882812500e-01   +6.0857236859e+00   
+3.0078125000e-01   +6.0976320149e+00   
+3.0273437500e-01   +6.1101668567e+00   
+3.0468750000e-01   +6.1233405969e+00   
+3.0664062500e-01   +6.1371649216e+00   
+3.0859375000e-01   +6.1516507410e+00   
+3.1054687500e-01   +6.1668081088e+00   
+3.1250000000e-01   +6.1826461375e+00   
+3.1445312500e-01   +6.1991729110e+00   
+3.1640625000e-01   +6.2163953933e+00   
+3.1835937500e-01   +6.2343193336e+00   
+3.2031250000e-01   +6.2529491671e+00   
+3.2226562500e-01   +6.2722879135e+00   
+3.2421875000e-01   +6.2923370704e+00   
+3.2617187500e-01   +6.3130965037e+00   
+3.2812500000e-01   +6.3345643345e+00   
+3.3007812500e-01   +6.3567368222e+00   
+3.3203125000e-01   +6.3796082432e+00   
+3.3398437500e-01   +6.4031707679e+00   
+3.3593750000e-01   +6.4274143321e+00   
+3.3789062500e-01   +6.4523265062e+00   
+3.3984375000e-01   +6.4778923611e+00   
+3.4179687500e-01   +6.5040943300e+00   
+3.4375000000e-01   +6.5309120681e+00   
+3.4570312500e-01   +6.5583223084e+00   
+3.4765625000e-01   +6.5862987149e+00   
+3.4960937500e-01   +6.6148117338e+00   
+3.5156250000e-01   +6.6438284410e+00   
+3.5351562500e-01   +6.6733123880e+00   
+3.5546875000e-01   +6.7032234456e+00   
+3.5742187500e-01   +6.7335176460e+00   
+3.5937500000e-01   +6.7641470223e+00   
+3.6132812500e-01   +6.7950594481e+00   
+3.6328125000e-01   +6.8261984748e+00   
+3.6523437500e-01   +6.8575031693e+00   
+3.6718750000e-01   +6.8889079506e+00   
+3.6914062500e-01   +6.9203424268e+00   
+3.7109375000e-01   +6.9517312326e+00   
+3.7304687500e-01   +6.9829938679e+00   
+3.7500000000e-01   +7.0140445371e+00   
+3.7695312500e-01   +7.0447919912e+00   
+3.7890625000e-01   +7.0751393718e+00   
+3.8085937500e-01   +7.1049840581e+00   
+3.8281250000e-01   +7.1342175176e+00   
+3.8476562500e-01   +7.1627251610e+00   
+3.8671875000e-01   +7.1903862020e+00   
+3.8867187500e-01   +7.2170735225e+00   
+3.9062500000e-01   +7.2426535442e+00   
+3.9257812500e-01   +7.2669861075e+00   
+3.9453125000e-01   +7.2899243576e+00   
+3.9648437500e-01   +7.3113146402e+00   
+3.9843750000e-01   +7.3309964061e+00   
+4.0039062500e-01   +7.3488021265e+00   
+4.0234375000e-01   +7.3645572198e+00   
+4.0429687500e-01   +7.3780799912e+00   
+4.0625000000e-01   +7.3891815850e+00   
+4.0820312500e-01   +7.3976659521e+00   
+4.1015625000e-01   +7.4033298334e+00   
+4.1210937500e-01   +7.4059627589e+00   
+4.1406250000e-01   +7.4053470663e+00   
+4.1601562500e-01   +7.4012579381e+00   
+4.1796875000e-01   +7.3934634587e+00   
+4.1992187500e-01   +7.3817246951e+00   
+4.2187500000e-01   +7.3657957986e+00   
+4.2382812500e-01   +7.3454241330e+00   
+4.2578125000e-01   +7.3203504278e+00   
+4.2773437500e-01   +7.2903089590e+00   
+4.2968750000e-01   +7.2550277596e+00   
+4.3164062500e-01   +7.2142288593e+00   
+4.3359375000e-01   +7.1676285579e+00   
+4.3554687500e-01   +7.1149377308e+00   
+4.3750000000e-01   +7.0558621711e+00   
+4.3945312500e-01   +6.9901029683e+00   
+4.4140625000e-01   +6.9173569246e+00   
+4.4335937500e-01   +6.8373170135e+00   
+4.4531250000e-01   +6.7496728785e+00   
+4.4726562500e-01   +6.6541113769e+00   
+4.4921875000e-01   +6.5503171685e+00   
+4.5117187500e-01   +6.4379733517e+00   
+4.5312500000e-01   +6.3167621487e+00   
+4.5507812500e-01   +6.1863656414e+00   
+4.5703125000e-01   +6.0464665601e+00   
+4.5898437500e-01   +5.8967491262e+00   
+4.6093750000e-01   +5.7368999508e+00   
+4.6289062500e-01   +5.5666089918e+00   
+4.6484375000e-01   +5.3855705695e+00   
+4.6679687500e-01   +5.1934844444e+00   
+4.6875000000e-01   +4.9900569565e+00   
+4.7070312500e-01   +4.7750022300e+00   
+4.7265625000e-01   +4.5480434437e+00   
+4.7460937500e-01   +4.3089141681e+00   
+4.7656250000e-01   +4.0573597722e+00   
+4.7851562500e-01   +3.7931388997e+00   
+4.8046875000e-01   +3.5160250172e+00   
+4.8242187500e-01   +3.2258080348e+00   
+4.8437500000e-01   +2.9222959998e+00   
+4.8632812500e-01   +2.6053168660e+00   
+4.8828125000e-01   +2.2747203377e+00   
+4.9023437500e-01   +1.9303797901e+00   
+4.9218750000e-01   +1.5721942667e+00   
+4.9414062500e-01   +1.2000905533e+00   
+4.9609375000e-01   +8.1402533031e-01   
+4.9804687500e-01   +4.1398740126e-01   
+5.0000000000e-01   +0.0000000000e+00   
