# t = +7.0267575329e+00
# r                 u_z
-2.6953125000e-01   -1.1962247729e+00   
-2.6757812500e-01   -1.1971965451e+00   
-2.6562500000e-01   -1.1984104636e+00   
-2.6367187500e-01   -1.1998485374e+00   
-2.6171875000e-01   -1.2014934225e+00   
-2.5976562500e-01   -1.2033284197e+00   
-2.5781250000e-01   -1.2053374704e+00   
-2.5585937500e-01   -1.2075051517e+00   
-2.5390625000e-01   -1.2098166701e+00   
-2.5195312500e-01   -1.2122578542e+00   
-2.5000000000e-01   -1.2148151470e+00   
-2.4804687500e-01   -1.2174755961e+00   
-2.4609375000e-01   -1.2202268446e+00   
-2.4414062500e-01   -1.2230571201e+00   
-2.4218750000e-01   -1.2259552239e+00   
-2.4023437500e-01   -1.2289105187e+00   
-2.3828125000e-01   -1.2319129170e+00   
-2.3632812500e-01   -1.2349528679e+00   
-2.3437500000e-01   -1.2380213442e+00   
-2.3242187500e-01   -1.2411098290e+00   
-2.3046875000e-01   -1.2442103019e+00   
-2.2851562500e-01   -1.2473152251e+00   
-2.2656250000e-01   -1.2504175291e+00   
-2.2460937500e-01   -1.2535105987e+00   
-2.2265625000e-01   -1.2565882585e+00   
-2.2070312500e-01   -1.2596447584e+00   
-2.1875000000e-01   -1.2626747594e+00   
-2.1679687500e-01   -1.2656733188e+00   
-2.1484375000e-01   -1.2686358759e+00   
-2.1289062500e-01   -1.2715582379e+00   
-2.1093750000e-01   -1.2744365655e+00   
-2.0898437500e-01   -1.2772673587e+00   
-2.0703125000e-01   -1.2800474432e+00   
-2.0507812500e-01   -1.2827739561e+00   
-2.0312500000e-01   -1.2854443328e+00   
-2.0117187500e-01   -1.2880562936e+00   
-1.9921875000e-01   -1.2906078301e+00   
-1.9726562500e-01   -1.2930971927e+00   
-1.9531250000e-01   -1.2955228780e+00   
-1.9335937500e-01   -1.2978836162e+00   
-1.9140625000e-01   -1.3001783591e+00   
-1.8945312500e-01   -1.3024062683e+00   
-1.8750000000e-01   -1.3045667037e+00   
-1.8554687500e-01   -1.3066592121e+00   
-1.8359375000e-01   -1.3086835167e+00   
-1.8164062500e-01   -1.3106395061e+00   
-1.7968750000e-01   -1.3125272244e+00   
-1.7773437500e-01   -1.3143468608e+00   
-1.7578125000e-01   -1.3160987405e+00   
-1.7382812500e-01   -1.3177833149e+00   
-1.7187500000e-01   -1.3194011530e+00   
-1.6992187500e-01   -1.3209529324e+00   
-1.6796875000e-01   -1.3224394312e+00   
-1.6601562500e-01   -1.3238615199e+00   
-1.6406250000e-01   -1.3252201537e+00   
-1.6210937500e-01   -1.3265163651e+00   
-1.6015625000e-01   -1.3277512566e+00   
-1.5820312500e-01   -1.3289259944e+00   
-1.5625000000e-01   -1.3300418014e+00   
-1.5429687500e-01   -1.3310999512e+00   
-1.5234375000e-01   -1.3321017624e+00   
-1.5039062500e-01   -1.3330485927e+00   
-1.4843750000e-01   -1.3339418337e+00   
-1.4648437500e-01   -1.3347829058e+00   
-1.4453125000e-01   -1.3355732533e+00   
-1.4257812500e-01   -1.3363143400e+00   
-1.4062500000e-01   -1.3370076451e+00   
-1.3867187500e-01   -1.3376546586e+00   
-1.3671875000e-01   -1.3382568780e+00   
-1.3476562500e-01   -1.3388158046e+00   
-1.3281250000e-01   -1.3393329399e+00   
-1.3085937500e-01   -1.3398097829e+00   
-1.2890625000e-01   -1.3402478268e+00   
-1.2695312500e-01   -1.3406485566e+00   
-1.2500000000e-01   -1.3410134464e+00   
-1.2304687500e-01   -1.3413439569e+00   
-1.2109375000e-01   -1.3416415337e+00   
-1.1914062500e-01   -1.3419076050e+00   
-1.1718750000e-01   -1.3421435799e+00   
-1.1523437500e-01   -1.3423508466e+00   
-1.1328125000e-01   -1.3425307712e+00   
-1.1132812500e-01   -1.3426846962e+00   
-1.0937500000e-01   -1.3428139391e+00   
-1.0742187500e-01   -1.3429197917e+00   
-1.0546875000e-01   -1.3430035190e+00   
-1.0351562500e-01   -1.3430663583e+00   
-1.0156250000e-01   -1.3431095185e+00   
-9.9609375000e-02   -1.3431341798e+00   
-9.7656250000e-02   -1.3431414926e+00   
-9.5703125000e-02   -1.3431325777e+00   
-9.3750000000e-02   -1.3431085258e+00   
-9.1796875000e-02   -1.3430703971e+00   
-8.9843750000e-02   -1.3430192214e+00   
-8.7890625000e-02   -1.3429559978e+00   
-8.5937500000e-02   -1.3428816950e+00   
-8.3984375000e-02   -1.3427972510e+00   
-8.2031250000e-02   -1.3427035737e+00   
-8.0078125000e-02   -1.3426015406e+00   
-7.8125000000e-02   -1.3424919992e+00   
-7.6171875000e-02   -1.3423757676e+00   
-7.4218750000e-02   -1.3422536343e+00   
-7.2265625000e-02   -1.3421263589e+00   
-7.0312500000e-02   -1.3419946724e+00   
-6.8359375000e-02   -1.3418592776e+00   
-6.6406250000e-02   -1.3417208497e+00   
-6.4453125000e-02   -1.3415800366e+00   
-6.2500000000e-02   -1.3414374595e+00   
-6.0546875000e-02   -1.3412937132e+00   
-5.8593750000e-02   -1.3411493671e+00   
-5.6640625000e-02   -1.3410049651e+00   
-5.4687500000e-02   -1.3408610269e+00   
-5.2734375000e-02   -1.3407180478e+00   
-5.0781250000e-02   -1.3405764998e+00   
-4.8828125000e-02   -1.3404368320e+00   
-4.6875000000e-02   -1.3402994708e+00   
-4.4921875000e-02   -1.3401648211e+00   
-4.2968750000e-02   -1.3400332664e+00   
-4.1015625000e-02   -1.3399051694e+00   
-3.9062500000e-02   -1.3397808727e+00   
-3.7109375000e-02   -1.3396606991e+00   
-3.5156250000e-02   -1.3395449522e+00   
-3.3203125000e-02   -1.3394339168e+00   
-3.1250000000e-02   -1.3393278596e+00   
-2.9296875000e-02   -1.3392270294e+00   
-2.7343750000e-02   -1.3391316578e+00   
-2.5390625000e-02   -1.3390419591e+00   
-2.3437500000e-02   -1.3389581315e+00   
-2.1484375000e-02   -1.3388803565e+00   
-1.9531250000e-02   -1.3388088003e+00   
-1.7578125000e-02   -1.3387436130e+00   
-1.5625000000e-02   -1.3386849300e+00   
-1.3671875000e-02   -1.3386328713e+00   
-1.1718750000e-02   -1.3385875425e+00   
-9.7656250000e-03   -1.3385490346e+00   
-7.8125000000e-03   -1.3385174241e+00   
-5.8593750000e-03   -1.3384927736e+00   
-3.9062500000e-03   -1.3384751316e+00   
-1.9531250000e-03   -1.3384645326e+00   
+0.0000000000e+00   -1.3384609973e+00   
+1.9531250000e-03   -1.3384645326e+00   
+3.9062500000e-03   -1.3384751316e+00   
+5.8593750000e-03   -1.3384927736e+00   
+7.8125000000e-03   -1.3385174241e+00   
+9.7656250000e-03   -1.3385490346e+00   
+1.1718750000e-02   -1.3385875425e+00   
+1.3671875000e-02   -1.3386328713e+00   
+1.5625000000e-02   -1.3386849300e+00   
+1.7578125000e-02   -1.3387436130e+00   
+1.9531250000e-02   -1.3388088003e+00   
+2.1484375000e-02   -1.3388803565e+00   
+2.3437500000e-02   -1.3389581315e+00   
+2.5390625000e-02   -1.3390419591e+00   
+2.7343750000e-02   -1.3391316578e+00   
+2.9296875000e-02   -1.3392270294e+00   
+3.1250000000e-02   -1.3393278596e+00   
+3.3203125000e-02   -1.3394339168e+00   
+3.5156250000e-02   -1.3395449522e+00   
+3.7109375000e-02   -1.3396606991e+00   
+3.9062500000e-02   -1.3397808727e+00   
+4.1015625000e-02   -1.3399051694e+00   
+4.2968750000e-02   -1.3400332664e+00   
+4.4921875000e-02   -1.3401648211e+00   
+4.6875000000e-02   -1.3402994708e+00   
+4.8828125000e-02   -1.3404368320e+00   
+5.0781250000e-02   -1.3405764998e+00   
+5.2734375000e-02   -1.3407180478e+00   
+5.4687500000e-02   -1.3408610269e+00   
+5.6640625000e-02   -1.3410049651e+00   
+5.8593750000e-02   -1.3411493671e+00   
+6.0546875000e-02   -1.3412937132e+00   
+6.2500000000e-02   -1.3414374595e+00   
+6.4453125000e-02   -1.3415800366e+00   
+6.6406250000e-02   -1.3417208497e+00   
+6.8359375000e-02   -1.3418592776e+00   
+7.0312500000e-02   -1.3419946724e+00   
+7.2265625000e-02   -1.3421263589e+00   
+7.4218750000e-02   -1.3422536343e+00   
+7.6171875000e-02   -1.3423757676e+00   
+7.8125000000e-02   -1.3424919992e+00   
+8.0078125000e-02   -1.3426015406e+00   
+8.2031250000e-02   -1.3427035737e+00   
+8.3984375000e-02   -1.3427972510e+00   
+8.5937500000e-02   -1.3428816950e+00   
+8.7890625000e-02   -1.3429559978e+00   
+8.9843750000e-02   -1.3430192214e+00   
+9.1796875000e-02   -1.3430703971e+00   
+9.3750000000e-02   -1.3431085258e+00   
+9.5703125000e-02   -1.3431325777e+00   
+9.7656250000e-02   -1.3431414926e+00   
+9.9609375000e-02   -1.3431341798e+00   
+1.0156250000e-01   -1.3431095185e+00   
+1.0351562500e-01   -1.3430663583e+00   
+1.0546875000e-01   -1.3430035190e+00   
+1.0742187500e-01   -1.3429197917e+00   
+1.0937500000e-01   -1.3428139391e+00   
+1.1132812500e-01   -1.3426846962e+00   
+1.1328125000e-01   -1.3425307712e+00   
+1.1523437500e-01   -1.3423508466e+00   
+1.1718750000e-01   -1.3421435799e+00   
+1.1914062500e-01   -1.3419076050e+00   
+1.2109375000e-01   -1.3416415337e+00   
+1.2304687500e-01   -1.3413439569e+00   
+1.2500000000e-01   -1.3410134464e+00   
+1.2695312500e-01   -1.3406485566e+00   
+1.2890625000e-01   -1.3402478268e+00   
+1.3085937500e-01   -1.3398097829e+00   
+1.3281250000e-01   -1.3393329399e+00   
+1.3476562500e-01   -1.3388158046e+00   
+1.3671875000e-01   -1.3382568780e+00   
+1.3867187500e-01   -1.3376546586e+00   
+1.4062500000e-01   -1.3370076451e+00   
+1.4257812500e-01   -1.3363143400e+00   
+1.4453125000e-01   -1.3355732533e+00   
+1.4648437500e-01   -1.3347829058e+00   
+1.4843750000e-01   -1.3339418337e+00   
+1.5039062500e-01   -1.3330485927e+00   
+1.5234375000e-01   -1.3321017624e+00   
+1.5429687500e-01   -1.3310999512e+00   
+1.5625000000e-01   -1.3300418014e+00   
+1.5820312500e-01   -1.3289259944e+00   
+1.6015625000e-01   -1.3277512566e+00   
+1.6210937500e-01   -1.3265163651e+00   
+1.6406250000e-01   -1.3252201537e+00   
+1.6601562500e-01   -1.3238615199e+00   
+1.6796875000e-01   -1.3224394312e+00   
+1.6992187500e-01   -1.3209529324e+00   
+1.7187500000e-01   -1.3194011530e+00   
+1.7382812500e-01   -1.3177833149e+00   
+1.7578125000e-01   -1.3160987405e+00   
+1.7773437500e-01   -1.3143468608e+00   
+1.7968750000e-01   -1.3125272244e+00   
+1.8164062500e-01   -1.3106395061e+00   
+1.8359375000e-01   -1.3086835167e+00   
+1.8554687500e-01   -1.3066592121e+00   
+1.8750000000e-01   -1.3045667037e+00   
+1.8945312500e-01   -1.3024062683e+00   
+1.9140625000e-01   -1.3001783591e+00   
+1.9335937500e-01   -1.2978836162e+00   
+1.9531250000e-01   -1.2955228780e+00   
+1.9726562500e-01   -1.2930971927e+00   
+1.9921875000e-01   -1.2906078301e+00   
+2.0117187500e-01   -1.2880562936e+00   
+2.0312500000e-01   -1.2854443328e+00   
+2.0507812500e-01   -1.2827739561e+00   
+2.0703125000e-01   -1.2800474432e+00   
+2.0898437500e-01   -1.2772673587e+00   
+2.1093750000e-01   -1.2744365655e+00   
+2.1289062500e-01   -1.2715582379e+00   
+2.1484375000e-01   -1.2686358759e+00   
+2.1679687500e-01   -1.2656733188e+00   
+2.1875000000e-01   -1.2626747594e+00   
+2.2070312500e-01   -1.2596447584e+00   
+2.2265625000e-01   -1.2565882585e+00   
+2.2460937500e-01   -1.2535105987e+00   
+2.2656250000e-01   -1.2504175291e+00   
+2.2851562500e-01   -1.2473152251e+00   
+2.3046875000e-01   -1.2442103019e+00   
+2.3242187500e-01   -1.2411098290e+00   
+2.3437500000e-01   -1.2380213442e+00   
+2.3632812500e-01   -1.2349528679e+00   
+2.3828125000e-01   -1.2319129170e+00   
+2.4023437500e-01   -1.2289105187e+00   
+2.4218750000e-01   -1.2259552239e+00   
+2.4414062500e-01   -1.2230571201e+00   
+2.4609375000e-01   -1.2202268446e+00   
+2.4804687500e-01   -1.2174755961e+00   
+2.5000000000e-01   -1.2148151470e+00   
+2.5195312500e-01   -1.2122578542e+00   
+2.5390625000e-01   -1.2098166701e+00   
+2.5585937500e-01   -1.2075051517e+00   
+2.5781250000e-01   -1.2053374704e+00   
+2.5976562500e-01   -1.2033284197e+00   
+2.6171875000e-01   -1.2014934225e+00   
+2.6367187500e-01   -1.1998485374e+00   
+2.6562500000e-01   -1.1984104636e+00   
+2.6757812500e-01   -1.1971965451e+00   
+2.6953125000e-01   -1.1962247729e+00   
+2.7148437500e-01   -1.1955137864e+00   
+2.7343750000e-01   -1.1950828729e+00   
+2.7539062500e-01   -1.1949519658e+00   
+2.7734375000e-01   -1.1951416411e+00   
+2.7929687500e-01   -1.1956731116e+00   
+2.8125000000e-01   -1.1965682195e+00   
+2.8320312500e-01   -1.1978494273e+00   
+2.8515625000e-01   -1.1995398059e+00   
+2.8710937500e-01   -1.2016630206e+00   
+2.8906250000e-01   -1.2042433148e+00   
+2.9101562500e-01   -1.2073054911e+00   
+2.9296875000e-01   -1.2108748898e+00   
+2.9492187500e-01   -1.2149773640e+00   
+2.9687500000e-01   -1.2196392527e+00   
+2.9882812500e-01   -1.2248873500e+00   
+3.0078125000e-01   -1.2307488711e+00   
+3.0273437500e-01   -1.2372514156e+00   
+3.0468750000e-01   -1.2444229266e+00   
+3.0664062500e-01   -1.2522916459e+00   
+3.0859375000e-01   -1.2608860663e+00   
+3.1054687500e-01   -1.2702348790e+00   
+3.1250000000e-01   -1.2803669172e+00   
+3.1445312500e-01   -1.2913110954e+00   
+3.1640625000e-01   -1.3030963446e+00   
+3.1835937500e-01   -1.3157515420e+00   
+3.2031250000e-01   -1.3293054366e+00   
+3.2226562500e-01   -1.3437865702e+00   
+3.2421875000e-01   -1.3592231923e+00   
+3.2617187500e-01   -1.3756431709e+00   
+3.2812500000e-01   -1.3930738972e+00   
+3.3007812500e-01   -1.4115421851e+00   
+3.3203125000e-01   -1.4310741654e+00   
+3.3398437500e-01   -1.4516951733e+00   
+3.3593750000e-01   -1.4734296310e+00   
+3.3789062500e-01   -1.4963009240e+00   
+3.3984375000e-01   -1.5203312707e+00   
+3.4179687500e-01   -1.5455415867e+00   
+3.4375000000e-01   -1.5719513422e+00   
+3.4570312500e-01   -1.5995784130e+00   
+3.4765625000e-01   -1.6284389248e+00   
+3.4960937500e-01   -1.6585470918e+00   
+3.5156250000e-01   -1.6899150474e+00   
+3.5351562500e-01   -1.7225526691e+00   
+3.5546875000e-01   -1.7564673966e+00   
+3.5742187500e-01   -1.7916640425e+00   
+3.5937500000e-01   -1.8281445969e+00   
+3.6132812500e-01   -1.8659080249e+00   
+3.6328125000e-01   -1.9049500578e+00   
+3.6523437500e-01   -1.9452629769e+00   
+3.6718750000e-01   -1.9868353913e+00   
+3.6914062500e-01   -2.0296520091e+00   
+3.7109375000e-01   -2.0736934017e+00   
+3.7304687500e-01   -2.1189357624e+00   
+3.7500000000e-01   -2.1653506586e+00   
+3.7695312500e-01   -2.2129047783e+00   
+3.7890625000e-01   -2.2615596701e+00   
+3.8085937500e-01   -2.3112714789e+00   
+3.8281250000e-01   -2.3619906755e+00   
+3.8476562500e-01   -2.4136617816e+00   
+3.8671875000e-01   -2.4662230904e+00   
+3.8867187500e-01   -2.5196063824e+00   
+3.9062500000e-01   -2.5737366385e+00   
+3.9257812500e-01   -2.6285317484e+00   
+3.9453125000e-01   -2.6839022178e+00   
+3.9648437500e-01   -2.7397508716e+00   
+3.9843750000e-01   -2.7959725568e+00   
+4.0039062500e-01   -2.8524538435e+00   
+4.0234375000e-01   -2.9090727259e+00   
+4.0429687500e-01   -2.9656983231e+00   
+4.0625000000e-01   -3.0221905819e+00   
+4.0820312500e-01   -3.0783999803e+00   
+4.1015625000e-01   -3.1341672349e+00   
+4.1210937500e-01   -3.1893230113e+00   
+4.1406250000e-01   -3.2436876395e+00   
+4.1601562500e-01   -3.2970708349e+00   
+4.1796875000e-01   -3.3492714264e+00   
+4.1992187500e-01   -3.4000770924e+00   
+4.2187500000e-01   -3.4492641058e+00   
+4.2382812500e-01   -3.4965970903e+00   
+4.2578125000e-01   -3.5418287876e+00   
+4.2773437500e-01   -3.5846998388e+00   
+4.2968750000e-01   -3.6249385806e+00   
+4.3164062500e-01   -3.6622608572e+00   
+4.3359375000e-01   -3.6963698515e+00   
+4.3554687500e-01   -3.7269559344e+00   
+4.3750000000e-01   -3.7536965377e+00   
+4.3945312500e-01   -3.7762560484e+00   
+4.4140625000e-01   -3.7942857302e+00   
+4.4335937500e-01   -3.8074236707e+00   
+4.4531250000e-01   -3.8152947592e+00   
+4.4726562500e-01   -3.8175106956e+00   
+4.4921875000e-01   -3.8136700331e+00   
+4.5117187500e-01   -3.8033582573e+00   
+4.5312500000e-01   -3.7861479030e+00   
+4.5507812500e-01   -3.7615987133e+00   
+4.5703125000e-01   -3.7292578403e+00   
+4.5898437500e-01   -3.6886600937e+00   
+4.6093750000e-01   -3.6393282366e+00   
+4.6289062500e-01   -3.5807733331e+00   
+4.6484375000e-01   -3.5124951506e+00   
+4.6679687500e-01   -3.4339826183e+00   
+4.6875000000e-01   -3.3447143462e+00   
+4.7070312500e-01   -3.2441592065e+00   
+4.7265625000e-01   -3.1317769808e+00   
+4.7460937500e-01   -3.0070190770e+00   
+4.7656250000e-01   -2.8693293173e+00   
+4.7851562500e-01   -2.7181448017e+00   
+4.8046875000e-01   -2.5528968499e+00   
+4.8242187500e-01   -2.3730120244e+00   
+4.8437500000e-01   -2.1779132390e+00   
+4.8632812500e-01   -1.9670209545e+00   
+4.8828125000e-01   -1.7397544659e+00   
+4.9023437500e-01   -1.4955332844e+00   
+4.9218750000e-01   -1.2337786166e+00   
+4.9414062500e-01   -9.5391494512e-01   
+4.9609375000e-01   -6.5537171279e-01   
+4.9804687500e-01   -3.3758511465e-01   
+5.0000000000e-01   +0.0000000000e+00   
